date,close
2022-04-04,103.28
2022-04-05,101.96
2022-04-06,96.23
2022-04-07,96.03
2022-04-08,98.26
2022-04-11,94.29
2022-04-12,100.6
2022-04-13,104.25
2022-04-14,106.95
2022-04-18,108.21
2022-04-19,102.56
2022-04-20,102.75
2022-04-21,103.79
2022-04-22,102.07
2022-04-25,98.54
2022-04-26,101.7
2022-04-27,102.02
2022-04-28,105.36
2022-04-29,104.69
2022-05-02,105.17
2022-05-03,102.41
2022-05-04,107.81
2022-05-05,108.26
2022-05-06,109.77
2022-05-09,103.09
2022-05-10,99.76
2022-05-11,105.71
2022-05-12,106.13
2022-05-13,110.49
2022-05-16,114.2
2022-05-17,112.4
2022-05-18,109.59
2022-05-19,112.21
2022-05-20,113.23
2022-05-23,110.29
2022-05-24,109.77
2022-05-25,110.33
2022-05-26,114.09
2022-05-27,115.07
2022-05-31,114.67
2022-06-01,115.26
2022-06-02,116.87
2022-06-03,118.87
2022-06-06,118.5
2022-06-07,119.41
2022-06-08,122.11
2022-06-09,121.51
2022-06-10,120.67
2022-06-13,120.93
2022-06-14,118.93
2022-06-15,115.31
2022-06-16,117.59
2022-06-17,109.56
2022-06-21,110.65
2022-06-22,106.19
2022-06-23,104.27
2022-06-24,107.62
2022-06-27,109.57
2022-06-28,111.76
2022-06-29,109.78
2022-06-30,105.76
2022-07-01,108.43
2022-07-05,99.5
2022-07-06,98.53
2022-07-07,102.73
2022-07-08,104.79
2022-07-11,104.09
2022-07-12,95.84
2022-07-13,96.3
2022-07-14,95.78
2022-07-15,97.59
2022-07-18,102.6
2022-07-19,104.22
2022-07-20,102.26
2022-07-21,96.35
2022-07-22,94.7
2022-07-25,96.7
2022-07-26,94.98
2022-07-27,97.26
2022-07-28,96.42
2022-07-29,98.62
2022-08-01,93.89
2022-08-02,94.42
2022-08-03,90.66
2022-08-04,88.54
2022-08-05,89.01
2022-08-08,90.76
2022-08-09,90.5
2022-08-10,91.93
2022-08-11,94.34
2022-08-12,92.09
2022-08-15,89.41
2022-08-16,86.53
2022-08-17,88.11
2022-08-18,90.5
2022-08-19,90.77
2022-08-22,90.23
2022-08-23,93.74
2022-08-24,94.89
2022-08-25,92.52
2022-08-26,93.06
2022-08-29,97.01
2022-08-30,91.64
2022-08-31,89.55
2022-09-01,86.61
2022-09-02,86.87
2022-09-06,86.88
2022-09-07,81.94
2022-09-08,83.54
2022-09-09,86.79
2022-09-12,87.78
2022-09-13,87.31
2022-09-14,88.48
2022-09-15,85.1
2022-09-16,85.11
2022-09-19,85.73
2022-09-20,84.45
2022-09-21,82.94
2022-09-22,83.49
2022-09-23,78.74
2022-09-26,76.71
2022-09-27,78.5
2022-09-28,82.15
2022-09-29,81.23
2022-09-30,79.49
2022-10-03,83.63
2022-10-04,86.52
2022-10-05,87.76
2022-10-06,88.45
2022-10-07,92.64
2022-10-10,91.13
2022-10-11,89.35
2022-10-12,87.27
2022-10-13,89.11
2022-10-14,85.61
2022-10-17,85.46
2022-10-18,82.82
2022-10-19,85.55
2022-10-20,85.98
2022-10-21,85.05
2022-10-24,84.58
2022-10-25,85.32
2022-10-26,87.91
2022-10-27,89.08
2022-10-28,87.9
2022-10-31,86.53
2022-11-01,88.37
2022-11-02,90.0
2022-11-03,88.17
2022-11-04,92.61
2022-11-07,91.79
2022-11-08,88.91
2022-11-09,85.83
2022-11-10,86.47
2022-11-11,88.96
2022-11-14,85.87
2022-11-15,86.92
2022-11-16,85.59
2022-11-17,81.64
2022-11-18,80.08
2022-11-21,79.73
2022-11-22,80.95
2022-11-23,77.94
2022-11-25,76.28
2022-11-28,77.24
2022-11-29,78.2
2022-11-30,80.55
2022-12-01,81.22
2022-12-02,79.98
2022-12-05,76.93
2022-12-06,74.25
2022-12-07,72.01
2022-12-08,71.46
2022-12-09,71.02
2022-12-12,73.17
2022-12-13,75.39
2022-12-14,77.28
2022-12-15,76.11
2022-12-16,74.29
2022-12-19,75.19
2022-12-20,76.09
2022-12-21,78.29
2022-12-22,77.49
2022-12-23,79.56
2022-12-27,79.53
2022-12-28,78.96
2022-12-29,78.4
2022-12-30,80.26
2023-01-03,76.93
2023-01-04,72.84
2023-01-05,73.67
2023-01-06,73.77
2023-01-09,74.63
2023-01-10,75.12
2023-01-11,77.41
2023-01-12,78.39
2023-01-13,79.86
2023-01-17,80.18
2023-01-18,79.48
2023-01-19,80.33
2023-01-20,81.31
2023-01-23,81.62
2023-01-24,80.13
2023-01-25,80.15
2023-01-26,81.01
2023-01-27,79.68
2023-01-30,77.9
2023-01-31,78.87
2023-02-01,76.41
2023-02-02,75.88
2023-02-03,73.39
2023-02-06,74.11
2023-02-07,77.14
2023-02-08,78.47
2023-02-09,78.06
2023-02-10,79.72
2023-02-13,80.14
2023-02-14,79.06
2023-02-15,78.59
2023-02-16,78.49
2023-02-17,76.34
2023-02-21,76.16
2023-02-22,73.95
2023-02-23,75.39
2023-02-24,76.32
2023-02-27,75.68
2023-02-28,77.05
2023-03-01,77.69
2023-03-02,78.16
2023-03-03,79.68
2023-03-06,80.46
2023-03-07,77.58
2023-03-08,76.66
2023-03-09,75.72
2023-03-10,76.68
2023-03-13,74.8
2023-03-14,71.33
2023-03-15,67.61
2023-03-16,68.35
2023-03-17,66.74
2023-03-20,67.64
2023-03-21,69.33
2023-03-22,70.9
2023-03-23,69.96
2023-03-24,69.26
2023-03-27,72.81
2023-03-28,73.2
2023-03-29,72.97
2023-03-30,74.37
2023-03-31,75.67
2023-04-03,80.42
2023-04-04,80.71
2023-04-05,80.61
2023-04-06,80.7
2023-04-10,79.74
2023-04-11,81.53
2023-04-12,83.26
